Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords
left,Coralie Vogelaar,Dutch Artist,"Amsterdam-based Dutch artist Coralie Vogelaar works across interdisciplines and focuses on human-computer interaction and machine algorithms. Her works often merge with social science methods and kinesthetic body expression through performance art, visual installations, and video to demonstrate how the human body and emotions are influenced by machines.

Her works are often done through cooperation with other field experts like data analysts, cherograghor, and sound producers through the form of performances and multimedia installations.",https://freight.cargo.site/w/1500/q/75/i/5be46c70a6abd1db7555fbf56bcc011fa28d15fcc58b81f3a63a795b853c9b13/8.jpg,,"Coralie Vogelaar, I Enjoyed the Parts in Your Mind, 2019, robotic drawing installation",,https://coralievogelaar.com/Home-Set,"Human computer interaction, Embodied movement artist"
leftDoubleImage,Cristina Bodnărescu ,Romanian Interdisciplinary new media artist,"Cristina Bodnărescu is a new media artist from Romania and co-founder of Ethics of Joy, which creates immersive performances and installations using creative codes, sounds, and body interaction with sound designer George Urse. Her works often associate human senses with computational devices, as well as respond to social and ecological issues through her interactive artwork.",https://life.ro/wp-content/uploads/2024/09/Aimotion-2022_Goethe-Institut-Athens.jpg,https://life.ro/wp-content/uploads/2024/09/Artificial-Ocean-2020_Ars-Electronica-2022.jpg,"AIMOTION project reads viewer's face to express their emotion through projection, 2022, interactive installation","Cristina Bodnărescu , Artificial Ocean, 2020, interaction sound installation",https://www.behance.net/cristinabodnarescu,"New media artist, artificial intelligence generative interactive content"
left,Janik Valler,German new media artist,"Janik Valler is a digital and media artist who creates interactive arts uses time as a variable from Germany. His work often focuses on the interaction of light, textures, and sculptures with generative media. With the background of the University of Arts Linz, situated between digital and physical objects of a major in Time-based and Interactive media arts, his work has a strong association with time and unexpected causes.

‘An arm raises dust, shaping it into a drip-like form before allowing it to settle back into its original state. It is a cyclic procedure of chance, existing somewhere between control and chaos. The mechanism remains constant, yet each outcome is distinct and unique’ – text from https://ars.electronica.art/hope/en/echoes-of-ferro/

The randomness of Janik Valler’s work has brought uncertainty and intriguing attempts to the audience. The audience is drawn to the unknown result, and this has brought people the willingness to stay and observe the artwork actively interact with them.",https://janikvaller.com/wp-content/uploads/2025/08/echoes_2zu3-1366x2048.jpg,,"Janik Valler, echoes of ferro, 2024, kinetic installation",,https://janikvaller.com/,"Ferrofluid art, new media art, ephemerality"
leftDoubleImage,Justine Emard,Postdigital artist in Paris,"Justine Emard is a contemporary postdigital artist in Paris who creates visual effects in reality settings and explore Aritificial Intellifence as a symbol that reveals human existence and digital systems.

Instead of treating Artificial Intelligence (AI), robotics, neuroscience, and virtual reality as mere novel technical utilities, she uses them as mediums to explore the deep dialogue, entanglement, and symbiosis between human existence, non-human consciousness, organic life, and digital systems.

International institutions like Barbican Centre (London), Mori Art Museum (Tokyo), and ZKM (Center for Art and Media, Karlsruhe) all display her works. She was also appointed as art director for the France Pavilion at the Osaka Expo 2025.",https://justineemard.com/wp-content/uploads/2017/08/Co-AI-xistence-%C2%A9-Justine-Emard-ADAGP-940x496.jpg,https://justineemard.com/wp-content/uploads/2021/08/2-Supraorganism-Justine-Emard-%C2%A9-Adagp-Paris-2021-photo-by-Caroline-Lessire.jpg,"Justine Emard (with Mirai Moriyama & Alter- developed by Ishiguro lab, Osaka University and Ikegami Lab, Tokyo University), Co(AI)xistence, video installation, 12'","Justine Emard, Supraorganism, 2020, Installation, 100 sq m",https://justineemard.com/coaixistence-2/,"Neuroscience, Human robotic interaction, VR and AR installation"
leftDoubleImage,Kim Albrecht,German designer,"Kim Albrecht is a German designer, researcher, and artist who often works with data and explores the intersection of data visualisation, technology, culture, and media theory. Albrecht started with a background in graphic design, interface design and a PhD in media theory, and continue his profession now as a professor in Information Design in Folkwang University. One of concept that he find in his work is how data can represent more than just to describe the world, but also change how human understand and experience this world.

A few practices in his work include investigative design, complexity and networks, data aesthetics and media reflexivity, and philosophy of design. Each of the practices is a combination of art form, academic research, and critical response to examine the influence of digital systems on society and human conceptual understanding.",https://kimalbrecht.com/img/projects/data-brokers-broken-data-kim-albrecht-visual-investigation-diagrams.png,https://www.kimalbrecht.com/img/projects/kim-albrecht-visualization-cosmic-web.jpg,"Kim Albrecht, Data Brokers, Broken Data, 2024 – ongoing, leaked data rendered imges on website","Kim Albrecht, Cosmic Web, 2015 - 2016, interactive website",https://www.kimalbrecht.com/,"Data artist, information designer, field scholar"
leftDoubleImage,Lauren Lee McCarthy,"p5.js founder, Amarican Artist","p5.js founder – Lauren Lee McCarthy, is a field-leading American artist and computer programmer. Her work explores deep social connections and relationships through algorithmic installation and art exhibits. Lauren has double degrees on Computer Science and Art and Design at MIT with an MFA master degree at UCLA, and she is currently a professor in the Deparment of Design and Media Arts at UCLA and co-director of UCLA Social Software Lab.

p5.js is an open-source JavaScript library that makes creative coding easy and intuitive, specifically for artists, designers, and coding beginners. There are over 1.5 milion people using p5.js for education, learning coding, and creating arts and design.",https://freight.cargo.site/w/2000/q/75/i/2f0fe40fff637e495fb9616abec92c8698b4466b85962abc9a30e5d4cebb494c/Lauren_Lee_Mc_Carthy_Ausstellungsansicht_39.jpg,https://freight.cargo.site/w/2000/q/75/i/1cda00daadb3de7c3c8550eb1e02cefb24b117b7ea6da378fb41a4aeb4a7f26f/fei-edited.png,"Lauren Lee McCarthy, Later Date, 2020, interactive performance",Later Date is a 2 parts interactive performance,https://get-lauren.net/,"P5js, Computer programmer, UCLA Design Media Arts Professor"
leftDoubleImage,Lorem (Francesco D'Abbraccio),Italian independence visual artist,"Lorem is an independent Italian musician and visual artist that work on artificial intelligence, machine learning, and Human Computer Interaction. He used to be one of two artists named Aucan that makes electronic music in Europe.

Lorem focuses is more than a visual effect, but a deeper exploration into the coexisting in Human and AI. One of his project fed human sentiment data to a machine, and use algorithm to simulate human subconsciousness, sound, and images.",https://lorem.parts/assets/000.png,https://lorem.parts/assets/mould_01.jpg,"Lorem, Distrust Everything, 2021 - on going, 4 channels AV installation","Lorem, Lorem & Acre — Mould, 2023, AV short film",https://lorem.parts/projects/lorem-acre--mould,"Machine learning art, Transmedial project, AI in music video production"
leftDoubleImage,Random International,Art group in London,"Random International is a group founded in 2005 in London by Hannes Koch and Florian Ortkrass. They explore the effect of putting humans as a medium in an increasingly mechanised world through postdigital art in large-scale interactive installations.

Work specifically: Rain Room in 2012 is a room-sized artwork that changes the audience's perception of the odd phenomenon this rain room offers. In the Rain Room, the audience will be get wet, only the space without any audience will be raining, which is extremly unsual compare to how natura works. It is an artwork as well as an examination of how people react and feel towards the abnormal.",https://images.squarespace-cdn.com/content/v1/663ca532b3e3797d82159fe2/c9efcea4-41be-4740-95fd-a6c83fe2bc35/RAIN+ROOM%2C+2012++2.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/663ca532b3e3797d82159fe2/ca214030-5627-4fc1-af21-a19cf6a67987/life-in-our-minds-motherflock-ii_photo+Maarten+Nauw-2.jpg?format=2500w,"Random International, Rain Room, 2012, large-scale immersive installation, grated floor from 100 sq m","Random International, Life In Our Minds: Motherflock / II, 2023, interactive generative video installation",https://www.random-international.com/rain-room,"Immersive installation, interactive generative content"
leftDoubleImage,Ryoji Ikeda,Japanese Artist,"Ryoji Ikeda is an electronic composer / visual artist from Kyoto, Japan. He is internationally known for his room-sized interactive installation that involves orchestrating experiences. Through raw data, mathematics, and quantum physics, Ikeda created monumental, quantum-physics-based audiovisual installations.

Ryoji Ikeda’s work is a large-scale installation that invites the audience to interact directly on top of his projected floor, with immersive digital music and sound. The audience has the opportunity to be directly influenced by the 'affect' that both the projection and the sound deliberately send to their sensors, creating an extraordinary experience.",https://www.ryojiikeda.com/data/work/ARM171130-008.jpg,https://www.ryojiikeda.com/data/work/tp9.jpeg,"Ryoji Ikeda, test pattern [nº13], 2017, audiovisual installation, W11.6 x H14.0 x D43.5 m","Ryoji Ikeda, test pattern [nº9], 2016, audiovisual installation, W25 x H13 x D25 m",https://www.ryojiikeda.com/project/testpattern/,"Audiovisual Installation, Large-scale art"
leftDoubleImage,Shinseungback Kimyonghun,Korean duo aritst group,"Shinseungback Kimyonghun is a group consisting of Shin Seung Back and Kim Yong Hun based in Seoul, Korea. Through their profession in computer engineer and visual art, they explore the connections between technology, humanity, and nature, and focus mainly on how the interpretation of human experience is affected by artificial intelligence and computer vision algorithms.",https://djhznh41oxwef.cloudfront.net/works/mind/ssbkyh_Mind_01.png,https://djhznh41oxwef.cloudfront.net/works/mind/ssbkyh_Mind_04.png,"Shinseungback Kimyonghun, Mind, 2019, variable installation","Shinseungback Kimyonghun, Mind, 2019, variable installation. This installation uses AI analyzes facial emotions of people in the space and reflect through 'Ocean Drums'",https://ssbkyh.com/works/mind/,"AI and algorithmic art, reality and virtual exploration"